typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","76","BRA","Brazil","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","-1","N/A",,"false","3","false",,"false","48",,"48","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","152","CHL","Chile","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","69","false","-1","N/A",,"false","69","false",,"false","305",,"305","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","251","FRA","France","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2814","false","-1","N/A",,"false","2814","false",,"false","5520",,"5520","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","276","DEU","Germany","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14","false","-1","N/A",,"false","14","false",,"false","93",,"93","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","380","ITA","Italy","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15","false","-1","N/A",,"false","15","false",,"false","79",,"79","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","484","MEX","Mexico","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","64","false","-1","N/A",,"false","64","false",,"false","187",,"187","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","528","NLD","Netherlands","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","668","false","-1","N/A",,"false","668","false",,"false","462",,"462","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","699","IND","India","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1","false","-1","N/A",,"false","1","false",,"false","58",,"58","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","710","ZAF","South Africa","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15","false","-1","N/A",,"false","15","false",,"false","60",,"60","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","724","ESP","Spain","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","66005","false","-1","N/A",,"false","66005","false",,"false","28959",,"28959","0","true","false",
"C","A","20050101","2005","52","2005","32","ARG","Argentina","M","Import","792","TUR","Türkiye","0","W00","World","H2","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","24","false","-1","N/A",,"false","24","false",,"false","294",,"294","0","true","false",
